codigo,nombre,categoria,tecnologia,estado,municipio,latitud,longitud,area_hidrografica,zona_hidrografica,subzona_hidrografica,fecha_instalacion,fecha_suspension
2120500343,CERRO SAMPER [2120500343],Pluviométrica,Automática sin Telemetría,Activa,"Bogotá, D.C",4.713388889,-74.01,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/02/2024,
2120000101,ALTOS DE LA ESTANCIA [2120000101],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.58074,-74.17828,Magdalena Cauca,Alto Magdalena,Río Bogotá,19/06/2018,
0021205380,HIPOTECHO  [21205380],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.633333333,-74.13333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1957,
2120000122,COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED) [2120000122],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.624567,-74.154993,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/11/2016,
0021200310,CERRO DE SUBA  [21200310],Pluviométrica,Convencional,Activa,"Bogotá, D.C",4.75,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1947,
0021206500,COLEGIO ABRAHAM LINCOLN [21206500],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.756638889,-74.06158333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/10/1994,03/11/2009
2120000169,COLEGIO LA BELLEZA (IED) [2120000169],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.53059,-74.09244,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/09/2019,
2120000127,COLEGIO EDUARDO UMAÑA [2120000127],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.48997,-74.11308,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/09/2018,
0021201120,CASITA LA  [21201120],Pluviométrica,Convencional,Activa,La Calera,4.633333333,-74.01666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1973,
2120500348,TRAMONTI [2120500348],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.666388889,-74.037277778,Magdalena Cauca,Alto Magdalena,Río Bogotá,18/07/2022,
2120000105,EL CODITO [2120000105],Climatológica Ordinaria,Automática con Telemetría,Activa,"Bogotá, D.C",4.763457,-74.021772,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/11/2011,
2120000120,COLEGIO GUSTAVO MORALES [2120000120],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.716619,-74.064401,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/11/2016,
2120000102,COLEGIO CARLOS PIZARRO [2120000102],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.635369444,-74.205408333,Magdalena Cauca,Alto Magdalena,Río Bogotá,19/06/2018,
2120000173,COLEGIO CARLO FEDERICI (IED) [2120000173],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.67168,-74.15894,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/12/2019,
2120000123,COLEGIO LA CHUCUA [2120000123],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.60356,-74.148507,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/11/2016,
2120000175,COLEGIO LA FELICIDAD (IED) [2120000175],Pluviométrica,Automática con Telemetría,Activa,"Bogotá, D.C",4.656,-74.131111111,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/12/2019,
2120500344,SORATAMA [2120500344],Climatológica Principal,Automática con Telemetría,Activa,"Bogotá, D.C",4.742055556,-74.013833333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/2022,
