codigoestacion,n_registros_original,n_duplicados_eliminados,pct_duplicados,n_registros_final,meses_con_duplicados
0021201980,415117,83041,20.0,332076,2024-10:11737; 2024-11:19487; 2024-12:21981; 2025-01:25000; 2025-02:4705; 2025-03:131
0021202180,443586,84244,18.99,359342,2024-10:14499; 2024-11:18435; 2024-12:21354; 2025-01:25000; 2025-02:4772; 2025-03:184
0021202190,514105,86230,16.77,427875,2024-10:13544; 2024-11:18434; 2024-12:23604; 2025-01:25000; 2025-02:5237; 2025-03:411
0021202220,523706,97944,18.7,425762,2024-10:19446; 2024-11:23935; 2024-12:23934; 2025-01:25000; 2025-02:5220; 2025-03:409
0021202230,523990,87294,16.66,436696,2024-10:11867; 2024-11:20779; 2024-12:23956; 2025-01:25000; 2025-02:5287; 2025-03:405
0021202240,492096,94132,19.13,397964,2024-10:18712; 2024-11:23942; 2024-12:23229; 2025-01:25000; 2025-02:3087; 2025-03:162
0021202250,531623,94115,17.7,437508,2024-10:17924; 2024-11:21451; 2024-12:24053; 2025-01:25000; 2025-02:5266; 2025-03:421
0021205012,69086,13274,19.21,55812,2024-10:411; 2024-11:4157; 2024-12:4129; 2025-01:4308; 2025-02:126; 2025-03:143
0021205420,64725,11898,18.38,52827,2024-10:414; 2024-11:2839; 2024-12:4032; 2025-01:4343; 2025-02:126; 2025-03:144
0021205700,39509,7407,18.75,32102,2024-10:411; 2024-11:4140; 2024-12:1729; 2025-01:858; 2025-02:125; 2025-03:144
0021205710,69238,13236,19.12,56002,2024-10:414; 2024-11:4176; 2024-12:4032; 2025-01:4344; 2025-02:126; 2025-03:144
0021205791,350717,91545,26.1,259172,2024-10:431; 2024-11:4146; 2024-12:13530; 2025-01:29076; 2025-02:4380; 2025-03:4661; 2025-04:3619; 2025-05:3324; 2025-06:3907; 2025-07:4237; 2025-08:4103; 2025-09:3623; 2025-10:4159; 2025-11:4032; 2025-12:4317
0021205910,68458,13337,19.48,55121,2024-10:412; 2024-11:4161; 2024-12:4155; 2025-01:4339; 2025-02:126; 2025-03:144
0021206280,66809,12192,18.25,54617,2024-10:413; 2024-11:4175; 2024-12:3892; 2025-01:3442; 2025-02:126; 2025-03:144
0021206560,69205,12913,18.66,56292,2024-10:693; 2024-11:3985; 2024-12:3816; 2025-01:4156; 2025-02:119; 2025-03:144
0021206600,70871,13628,19.23,57243,2024-10:413; 2024-11:4180; 2024-12:4013; 2025-01:4303; 2025-02:575; 2025-03:144
0021206780,537261,93781,17.46,443480,2024-10:16514; 2024-11:22820; 2024-12:23822; 2025-01:25000; 2025-02:5230; 2025-03:395
0021206810,518995,86151,16.6,432844,2024-10:13822; 2024-11:21392; 2024-12:23963; 2025-01:21353; 2025-02:5238; 2025-03:383
0021206890,556411,102695,18.46,453716,2024-10:23318; 2024-11:25000; 2024-12:23766; 2025-01:25000; 2025-02:5209; 2025-03:402
0021206980,31417,0,0.0,31417,
0021206990,268,0,0.0,268,
0021208480,561969,101710,18.1,460259,2024-10:22952; 2024-11:25000; 2024-12:23160; 2025-01:25000; 2025-02:5253; 2025-03:345
0035025060,53941,11325,21.0,42616,2024-10:350; 2024-11:3641; 2024-12:3514; 2025-01:3592; 2025-02:131; 2025-03:97
2120000099,412657,93561,22.67,319096,2024-10:18424; 2024-11:23883; 2024-12:23034; 2025-01:25000; 2025-02:3056; 2025-03:164
2120000100,423177,95730,22.62,327447,2024-10:19163; 2024-11:24845; 2024-12:23474; 2025-01:25000; 2025-02:3069; 2025-03:179
2120000101,418067,94747,22.66,323320,2024-10:19072; 2024-11:23998; 2024-12:23315; 2025-01:25000; 2025-02:3183; 2025-03:179
2120000103,394280,85183,21.6,309097,2024-10:18507; 2024-11:23880; 2024-12:14383; 2025-01:25000; 2025-02:3221; 2025-03:192
2120000104,71486,0,0.0,71486,
2120000105,546099,102102,18.7,443997,2024-10:22739; 2024-11:25000; 2024-12:23778; 2025-01:25000; 2025-02:5186; 2025-03:399
2120000106,415214,94045,22.65,321169,2024-10:18804; 2024-11:24276; 2024-12:22657; 2025-01:25000; 2025-02:3160; 2025-03:148
2120000107,492875,87832,17.82,405043,2024-10:15335; 2024-11:20370; 2024-12:22158; 2025-01:25000; 2025-02:4715; 2025-03:254
2120000108,549870,99999,18.19,449871,2024-10:21346; 2024-11:25000; 2024-12:23196; 2025-01:25000; 2025-02:5063; 2025-03:394
2120000109,539012,100861,18.71,438151,2024-10:22166; 2024-11:25000; 2024-12:23208; 2025-01:25000; 2025-02:5102; 2025-03:385
2120000117,445363,85110,19.11,360253,2024-10:13715; 2024-11:18893; 2024-12:22655; 2025-01:25000; 2025-02:4667; 2025-03:180
2120000118,565756,101337,17.91,464419,2024-10:22501; 2024-11:25000; 2024-12:23164; 2025-01:25000; 2025-02:5260; 2025-03:412
2120000119,532522,97973,18.4,434549,2024-10:18962; 2024-11:24478; 2024-12:23826; 2025-01:25000; 2025-02:5292; 2025-03:415
2120000120,566661,100614,17.76,466047,2024-10:21998; 2024-11:25000; 2024-12:23215; 2025-01:25000; 2025-02:4999; 2025-03:402
2120000121,567951,96497,16.99,471454,2024-10:22124; 2024-11:20594; 2024-12:23085; 2025-01:25000; 2025-02:5299; 2025-03:395
2120000122,576278,101768,17.66,474510,2024-10:22460; 2024-11:25000; 2024-12:23768; 2025-01:25000; 2025-02:5238; 2025-03:302
2120000123,580963,102591,17.66,478372,2024-10:23221; 2024-11:25000; 2024-12:23777; 2025-01:25000; 2025-02:5285; 2025-03:308
2120000124,573142,102047,17.8,471095,2024-10:22722; 2024-11:25000; 2024-12:23781; 2025-01:25000; 2025-02:5243; 2025-03:301
2120000125,368005,83564,22.71,284441,2024-10:13994; 2024-11:17876; 2024-12:22082; 2025-01:25000; 2025-02:4335; 2025-03:277
2120000126,561668,101949,18.15,459719,2024-10:22347; 2024-11:25000; 2024-12:23942; 2025-01:25000; 2025-02:5258; 2025-03:402
2120000127,531897,90272,16.97,441625,2024-10:14934; 2024-11:20683; 2024-12:23947; 2025-01:25000; 2025-02:5296; 2025-03:412
2120000128,530234,89438,16.87,440796,2024-10:14491; 2024-11:20313; 2024-12:23965; 2025-01:25000; 2025-02:5267; 2025-03:402
2120000129,528930,89981,17.01,438949,2024-10:14782; 2024-11:20573; 2024-12:23963; 2025-01:25000; 2025-02:5252; 2025-03:411
2120000130,522498,88355,16.91,434143,2024-10:13644; 2024-11:20098; 2024-12:23965; 2025-01:25000; 2025-02:5247; 2025-03:401
2120000131,532263,95547,17.95,436716,2024-10:20733; 2024-11:20499; 2024-12:23792; 2025-01:25000; 2025-02:5148; 2025-03:375
2120000132,554051,97142,17.53,456909,2024-10:22323; 2024-11:21017; 2024-12:23131; 2025-01:25000; 2025-02:5253; 2025-03:418
2120000133,546936,100676,18.41,446260,2024-10:21937; 2024-11:25000; 2024-12:23130; 2025-01:25000; 2025-02:5214; 2025-03:395
2120000134,543083,102198,18.82,440885,2024-10:22763; 2024-11:25000; 2024-12:23834; 2025-01:25000; 2025-02:5211; 2025-03:390
2120000135,570181,102240,17.93,467941,2024-10:23501; 2024-11:25000; 2024-12:23146; 2025-01:25000; 2025-02:5188; 2025-03:405
2120000136,372473,46296,12.43,326177,2024-12:21701; 2025-01:18828; 2025-02:5372; 2025-03:395
2120000137,575387,102942,17.89,472445,2024-10:23536; 2024-11:25000; 2024-12:23788; 2025-01:25000; 2025-02:5206; 2025-03:412
2120000138,426937,95987,22.48,330950,2024-10:19467; 2024-11:24888; 2024-12:23618; 2025-01:25000; 2025-02:2828; 2025-03:186
2120000139,375490,84673,22.55,290817,2024-10:18338; 2024-11:18775; 2024-12:19269; 2025-01:25000; 2025-02:3121; 2025-03:170
2120000140,551287,101689,18.45,449598,2024-10:22938; 2024-11:25000; 2024-12:23169; 2025-01:25000; 2025-02:5169; 2025-03:413
2120000169,534541,98633,18.45,435908,2024-10:19184; 2024-11:25000; 2024-12:23784; 2025-01:25000; 2025-02:5262; 2025-03:403
2120000170,542273,101455,18.71,440818,2024-10:22725; 2024-11:25000; 2024-12:23162; 2025-01:25000; 2025-02:5167; 2025-03:401
2120000171,556386,102238,18.38,454148,2024-10:23455; 2024-11:25000; 2024-12:23125; 2025-01:25000; 2025-02:5251; 2025-03:407
2120000172,560663,102437,18.27,458226,2024-10:23003; 2024-11:25000; 2024-12:23776; 2025-01:25000; 2025-02:5253; 2025-03:405
2120000173,572009,101099,17.67,470910,2024-10:22324; 2024-11:25000; 2024-12:23151; 2025-01:25000; 2025-02:5209; 2025-03:415
2120000174,574502,102141,17.78,472361,2024-10:23507; 2024-11:25000; 2024-12:23179; 2025-01:25000; 2025-02:5053; 2025-03:402
2120000175,573254,102198,17.83,471056,2024-10:22882; 2024-11:25000; 2024-12:23763; 2025-01:25000; 2025-02:5244; 2025-03:309
2120500135,69048,13167,19.07,55881,2024-10:413; 2024-11:4176; 2024-12:3962; 2025-01:4346; 2025-02:126; 2025-03:144
2120500201,549388,101826,18.53,447562,2024-10:23073; 2024-11:25000; 2024-12:23116; 2025-01:25000; 2025-02:5290; 2025-03:347
2120500204,95281,17275,18.13,78006,2024-10:4112; 2024-11:4064; 2024-12:4041; 2025-01:4347; 2025-02:575; 2025-03:136
2120700038,495973,87523,17.65,408450,2024-10:15650; 2024-11:20267; 2024-12:21575; 2025-01:25000; 2025-02:4757; 2025-03:274
2120700154,523013,89382,17.09,433631,2024-10:14098; 2024-11:21037; 2024-12:23601; 2025-01:25000; 2025-02:5238; 2025-03:408
2306500204,67838,13086,19.29,54752,2024-10:413; 2024-11:4122; 2024-12:3996; 2025-01:4280; 2025-02:131; 2025-03:144
