codigoestacion,anio,precip_total_mm,n_registros
2120000101,2018,32.0,11773
2120000101,2019,519.5,250607
2120000101,2020,60.8,83059
2120000101,2023,0.4,7252
2120000101,2024,361.9,191733
2120000101,2025,331.5,231590
2120000101,2026,109.5,91445
2120000122,2023,0.6,7243
2120000122,2024,386.3,237561
2120000122,2025,584.4,380867
2120000122,2026,283.9,181752
2120000169,2023,1.5,7685
2120000169,2024,453.0,222411
2120000169,2025,632.8,354098
2120000169,2026,339.3,173791
2120000127,2023,1.6,7649
2120000127,2024,248.8,182934
2120000127,2025,577.7,384202
2120000127,2026,284.9,188967
2120000105,2018,115.3,58309
2120000105,2019,1354.4,551996
2120000105,2020,208.8,83650
2120000105,2023,1.2,6868
2120000105,2024,633.6,233236
2120000105,2025,893.0,354496
2120000105,2026,402.8,178038
2120000120,2023,0.3,7752
2120000120,2024,675.4,235480
2120000120,2025,805.5,376398
2120000120,2026,402.6,173196
2120000102,2018,23.2,58233
2120000102,2019,567.3,549137
2120000102,2020,42.2,74494
2120000173,2023,0.6,8070
2120000173,2024,377.9,233025
2120000173,2025,628.4,382788
2120000173,2026,249.7,179068
2120000123,2023,1.6,7949
2120000123,2024,430.6,240566
2120000123,2025,556.0,385365
2120000123,2026,265.8,180882
2120000175,2023,0.8,7479
2120000175,2024,397.3,242382
2120000175,2025,547.5,379235
2120000175,2026,292.5,182035
2120000128,2023,1.4,7475
2120000128,2024,279.9,181341
2120000128,2025,727.5,385789
2120000128,2026,330.6,182315
2120000099,2018,194.2,98058
2120000099,2019,1199.8,553072
2120000099,2020,89.6,80986
2120000099,2023,1.2,7292
2120000099,2024,590.9,187382
2120000099,2025,369.4,230623
2120000099,2026,274.9,88502
2120000109,2018,108.6,58453
2120000109,2019,1240.3,553492
2120000109,2020,69.2,72966
2120000109,2023,2.5,6542
2120000109,2024,560.6,222137
2120000109,2025,704.7,353808
2120000109,2026,396.4,171121
2120000140,2023,0.9,7199
2120000140,2024,1032.8,234890
2120000140,2025,863.7,360986
2120000140,2026,528.4,176346
2120500204,2024,3208.1,44142
2120500204,2025,3189.0,51139
2120500204,2026,440.8,27337
2120500201,2023,1.6,7869
2120500201,2024,670.4,222132
2120500201,2025,787.7,363984
2120500201,2026,571.5,184703
2120000104,2018,52.7,58194
2120000104,2019,885.0,542357
2120000104,2020,90.3,68177
2120000104,2023,0.1,5351
2120000104,2025,170.2,71486
2120000104,2026,315.2,178618
2120000118,2023,2.8,7730
2120000118,2024,646.2,218157
2120000118,2025,663.5,382912
2120000118,2026,335.1,183740
2120000172,2023,0.0,7227
2120000172,2024,610.5,238284
2120000172,2025,623.1,364783
2120000172,2026,351.3,179415
2120000103,2018,73.1,58159
2120000103,2019,1321.7,555131
2120000103,2020,192.2,84007
2120000103,2023,0.3,6946
2120000103,2024,713.2,169849
2120000103,2025,483.5,233825
2120000103,2026,322.1,91075
2120000139,2023,0.6,6914
2120000139,2024,609.2,169435
2120000139,2025,434.0,210079
2120000139,2026,257.4,87646
2120700038,2018,24.3,58331
2120700038,2019,650.0,548660
2120700038,2020,80.2,73841
2120700038,2023,0.6,5622
2120700038,2024,302.4,165839
2120700038,2025,425.6,344710
2120700038,2026,218.5,177883
2120000134,2023,1.9,7922
2120000134,2024,693.6,230831
2120000134,2025,644.9,353191
2120000134,2026,458.7,179691
2120000126,2023,2.8,6819
2120000126,2024,401.1,218810
2120000126,2025,766.2,382354
2120000126,2026,356.9,186277
2120000130,2023,0.5,7457
2120000130,2024,306.9,174380
2120000130,2025,618.0,385264
2120000130,2026,268.0,179776
2120000138,2023,0.2,7370
2120000138,2024,674.2,197774
2120000138,2025,433.5,233169
2120000138,2026,271.8,88029
2120000124,2023,0.8,7643
2120000124,2024,419.7,233118
2120000124,2025,615.4,380885
2120000124,2026,311.9,184712
2306500204,2024,515.2,17062
2306500204,2025,985.8,50776
2306500204,2026,847.9,27159
2120000125,2023,0.2,2323
2120000125,2024,291.9,132873
2120000125,2025,437.2,245960
2120000125,2026,168.9,73400
2120000121,2023,0.9,7938
2120000121,2024,476.1,223144
2120000121,2025,682.4,384755
2120000121,2026,377.9,183110
2120000131,2023,0.5,7477
2120000131,2024,373.9,213422
2120000131,2025,404.4,355870
2120000131,2026,190.4,168639
2120000129,2023,1.0,7570
2120000129,2024,271.1,181884
2120000129,2025,599.4,384157
2120000129,2026,232.8,171089
2120000132,2023,0.8,7732
2120000132,2024,391.7,221078
2120000132,2025,408.4,370060
2120000132,2026,212.6,166455
2120000136,2024,16.7,46145
2120000136,2025,632.4,326328
2120000136,2026,453.3,177832
2120000174,2023,2.6,7652
2120000174,2024,667.0,235907
2120000174,2025,855.1,381682
2120000174,2026,450.2,179989
2120000170,2023,2.0,6863
2120000170,2024,718.4,224815
2120000170,2025,707.3,353185
2120000170,2026,410.7,149889
2120000100,2018,186.5,90764
2120000100,2019,1278.3,554034
2120000100,2020,115.4,70806
2120000100,2023,3.1,7401
2120000100,2024,570.9,194899
2120000100,2025,519.4,234558
2120000100,2026,269.6,90735
2120700154,2023,1.7,7966
2120700154,2024,389.1,180195
2120700154,2025,587.4,379341
2120700154,2026,334.5,183463
2120000133,2023,1.0,7664
2120000133,2024,788.4,227939
2120000133,2025,699.7,360425
2120000133,2026,353.9,170080
2120000107,2018,21.7,65139
2120000107,2019,943.52,550106
2120000107,2020,109.3,74665
2120000107,2023,1.5,5855
2120000107,2024,388.5,164944
