codigo,resolucion_mm,n_valores_unicos,cumple_umbral_01mm,posible_artefacto
2120000122,0.1,18,True,False
2120000169,0.1,21,True,False
2120000101,0.1,17,True,False
2120000173,0.1,20,True,False
2120000120,0.1,28,True,False
2120000123,0.1,15,True,False
2120000139,0.1,24,True,False
2120000138,0.1,26,True,False
2120000103,0.1,27,True,False
2120000106,0.1,23,True,False
2120000170,0.1,23,True,False
2120000129,0.1,17,True,False
0021206780,0.1,14,True,False
2120000135,0.1,23,True,False
0021206890,0.1,19,True,False
2120000119,0.1,18,True,False
2120000171,0.1,22,True,False
2120000100,0.1,29,True,False
2120700154,0.1,15,True,False
2120000133,0.1,20,True,False
2120000107,0.1,18,True,False
2120500135,0.2,36,False,False
2120000174,0.1,21,True,False
2120000136,0.1,17,True,False
2120000132,0.1,16,True,False
2120000121,0.1,21,True,False
2120000131,0.1,18,True,False
2120000125,0.1,21,True,False
2120000124,0.1,16,True,False
2120000130,0.1,14,True,False
2120000126,0.1,12,True,False
2120000134,0.1,20,True,False
2120000172,0.1,22,True,False
2120000118,0.1,24,True,False
2120500204,0.1,144,True,False
2120500201,0.1,20,True,False
2120000099,0.1,22,True,False
2120000109,0.1,24,True,False
2120000140,0.1,27,True,False
2120000128,0.1,10,True,False
2120000105,0.1,24,True,False
2120700038,0.1,15,True,False
2120000175,0.1,20,True,False
2120000137,0.1,25,True,False
2120000108,0.1,27,True,False
2120000117,0.1,23,True,False
2120000127,0.1,14,True,False
0021201980,0.1,31,True,False
0021205420,0.1,55,True,False
0021202240,0.1,23,True,False
0021205791,0.01,1131,True,True
0021208480,0.1,17,True,False
0021202230,0.1,13,True,False
0021206810,0.1,15,True,False
0021206600,0.1,71,True,False
0021205910,0.2,39,False,False
0021202250,0.1,19,True,False
0021206560,0.1,57,True,False
0021206280,0.1,42,True,False
0021202180,0.1,15,True,False
0021202190,0.1,15,True,False
0021202220,0.1,22,True,False
0021205710,0.1,61,True,False
2306500204,0.1,56,True,False
0021205012,0.1,59,True,False
0035025060,0.1,39,True,False
