codigo,nombre,longitud,latitud,tecnologia,altitud,DEF_24_mean_dias_con_dato,MAM_24_mean_dias_con_dato,JJA_24_mean_dias_con_dato,SON_24_mean_dias_con_dato,DEF_25_mean_dias_con_dato,MAM_25_mean_dias_con_dato,JJA_25_mean_dias_con_dato,SON_25_mean_dias_con_dato,DEF_24_prec_media,DEF_24_prec_25,DEF_24_prec_50,DEF_24_prec_75,DEF_24_prec_max,DEF_24_fecha_max_precip,DEF_24_max_precip,MAM_24_prec_media,MAM_24_prec_25,MAM_24_prec_50,MAM_24_prec_75,MAM_24_prec_max,MAM_24_fecha_max_precip,MAM_24_max_precip,JJA_24_prec_media,JJA_24_prec_25,JJA_24_prec_50,JJA_24_prec_75,JJA_24_prec_max,JJA_24_fecha_max_precip,JJA_24_max_precip,SON_24_prec_media,SON_24_prec_25,SON_24_prec_50,SON_24_prec_75,SON_24_prec_max,SON_24_fecha_max_precip,SON_24_max_precip,DEF_25_prec_media,DEF_25_prec_25,DEF_25_prec_50,DEF_25_prec_75,DEF_25_prec_max,DEF_25_fecha_max_precip,DEF_25_max_precip,MAM_25_prec_media,MAM_25_prec_25,MAM_25_prec_50,MAM_25_prec_75,MAM_25_prec_max,MAM_25_fecha_max_precip,MAM_25_max_precip,JJA_25_prec_media,JJA_25_prec_25,JJA_25_prec_50,JJA_25_prec_75,JJA_25_prec_max,JJA_25_fecha_max_precip,JJA_25_max_precip,SON_25_prec_media,SON_25_prec_25,SON_25_prec_50,SON_25_prec_75,SON_25_prec_max,SON_25_fecha_max_precip,SON_25_max_precip,DEF_24_cadencia_media,MAM_24_cadencia_media,JJA_24_cadencia_media,SON_24_cadencia_media,DEF_25_cadencia_media,MAM_25_cadencia_media,JJA_25_cadencia_media,SON_25_cadencia_media,ratio_max_segundo_max,fecha_max_global,precip_max_global,cluster_geografico,p95_propia,p95_cluster_prom,ratio_p95_cluster
2120000101,ALTOS DE LA ESTANCIA [2120000101],-74.178,4.581,Automática con Telemetría,2960.0,0.549,0.935,0.685,0.857,0.689,0.946,0.728,0.934,0.542,0.0,0.0,0.0,15.7,2024-02-06,15.7,0.316,0.0,0.0,0.0,14.1,2024-03-20,14.1,0.041,0.0,0.0,0.0,0.8,2024-07-05,0.8,2.088,0.0,0.0,2.825,33.9,2024-11-22,33.9,0.539,0.0,0.0,0.175,9.6,2025-01-03,9.6,1.429,0.0,0.3,1.6,19.7,2025-04-27,19.7,0.652,0.0,0.0,0.85,5.7,2025-08-24,5.7,1.366,0.0,0.1,0.9,14.1,2025-10-23,14.1,3.5,6.4,27.7,2.5,2.4,2.9,4.4,1.8,1.721,2024-11-22,33.9,10,5.5,7.59,0.72
2120000122,COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED) [2120000122],-74.155,4.625,Automática con Telemetría,2557.0,0.549,0.935,0.728,0.835,0.567,0.946,0.728,0.945,0.51,0.0,0.0,0.0,12.3,2024-02-04,12.3,0.281,0.0,0.0,0.075,11.6,2024-03-20,11.6,0.097,0.0,0.0,0.0,1.6,2024-07-05,1.6,2.213,0.0,0.1,2.85,22.2,2024-11-02,22.2,0.571,0.0,0.0,0.05,16.5,2025-01-03,16.5,3.363,0.1,1.3,4.0,25.2,2025-05-20,25.2,1.169,0.0,0.1,1.35,7.5,2025-06-23,7.5,1.8,0.0,0.2,1.45,27.0,2025-10-13,27.0,3.0,5.2,11.8,2.1,2.2,1.5,2.1,1.2,1.071,2025-10-13,27.0,5,7.44,11.72,0.63
2120000169,COLEGIO LA BELLEZA (IED) [2120000169],-74.092,4.531,Automática con Telemetría,2949.0,0.549,0.935,0.728,0.835,0.556,0.946,0.728,0.923,0.692,0.0,0.0,0.0,7.9,2024-02-04,7.9,0.742,0.0,0.0,0.2,24.1,2024-03-20,24.1,0.158,0.0,0.0,0.1,2.2,2024-07-20,2.2,2.203,0.0,0.05,2.2,19.7,2024-11-10,19.7,0.68,0.0,0.0,0.175,13.2,2025-02-27,13.2,2.905,0.1,1.0,3.9,25.0,2025-04-25,25.0,2.682,0.3,1.8,3.55,13.8,2025-07-19,13.8,1.539,0.0,0.5,2.0,14.2,2025-11-21,14.2,3.2,5.7,15.5,2.4,2.2,1.7,2.6,1.2,1.037,2025-04-25,25.0,10,7.9,7.39,1.07
2120000127,COLEGIO EDUARDO UMAÑA [2120000127],-74.113,4.49,Automática con Telemetría,2923.0,0.549,0.935,0.717,0.857,0.567,0.946,0.728,0.934,0.432,0.0,0.0,0.0,5.0,2024-02-05,5.0,0.249,0.0,0.0,0.1,7.3,2024-03-20,7.3,0.083,0.0,0.0,0.0,1.6,2024-07-05,1.6,1.347,0.0,0.0,1.85,10.6,2024-10-09,10.6,0.29,0.0,0.0,0.0,4.7,2025-01-03,4.7,2.507,0.1,0.9,2.45,23.8,2025-04-27,23.8,2.461,0.15,1.0,3.05,13.0,2025-06-06,13.0,1.811,0.0,0.6,2.2,16.6,2025-11-23,16.6,4.7,6.1,35.8,3.1,2.2,1.5,2.1,1.2,1.008,2025-04-27,23.8,10,6.94,7.47,0.93
2120000105,EL CODITO [2120000105],-74.022,4.763,Automática con Telemetría,2730.0,0.549,0.913,0.739,0.824,0.567,0.935,0.674,0.934,0.554,0.0,0.0,0.0,10.2,2024-02-06,10.2,0.346,0.0,0.0,0.2,8.6,2024-04-18,8.6,0.118,0.0,0.0,0.1,2.3,2024-07-05,2.3,3.365,0.0,0.2,3.65,34.1,2024-11-06,34.1,0.88,0.0,0.0,0.5,11.0,2025-01-03,11.0,4.428,0.2,1.5,4.35,36.3,2025-03-11,36.3,1.248,0.1,0.6,2.3,7.9,2025-06-09,7.9,2.998,0.0,0.2,2.1,44.2,2025-11-16,44.2,3.6,5.7,12.2,2.1,2.2,1.5,2.5,1.3,1.218,2025-11-16,44.2,3,9.39,10.15,0.92
2120000120,COLEGIO GUSTAVO MORALES [2120000120],-74.064,4.717,Automática con Telemetría,2553.0,0.549,0.935,0.761,0.802,0.567,0.946,0.728,0.934,1.404,0.0,0.0,0.0,15.6,2024-02-06,15.6,0.527,0.0,0.0,0.175,12.6,2024-03-20,12.6,0.069,0.0,0.0,0.0,2.0,2024-07-05,2.0,3.19,0.0,0.5,5.0,22.7,2024-11-19,22.7,0.986,0.0,0.0,0.5,14.2,2025-01-03,14.2,4.092,0.0,0.9,4.9,42.2,2025-04-27,42.2,0.993,0.0,0.1,1.45,11.5,2025-06-22,11.5,3.513,0.0,0.1,1.3,65.7,2025-10-16,65.7,3.0,5.4,12.4,2.2,2.2,1.5,2.1,1.2,1.557,2025-10-16,65.7,3,10.3,10.07,1.02
2120000173,COLEGIO CARLO FEDERICI (IED) [2120000173],-74.159,4.672,Automática con Telemetría,2577.0,0.549,0.935,0.739,0.835,0.567,0.946,0.728,0.945,0.266,0.0,0.0,0.0,6.1,2024-02-04,6.1,0.328,0.0,0.0,0.1,8.4,2024-03-20,8.4,0.063,0.0,0.0,0.0,0.9,2024-07-08,0.9,2.176,0.0,0.1,2.35,20.1,2024-09-30,20.1,0.475,0.0,0.0,0.2,8.2,2025-01-03,8.2,3.772,0.1,0.9,4.4,25.4,2025-03-03,25.4,1.3,0.0,0.3,1.6,7.7,2025-06-23,7.7,2.155,0.0,0.2,1.775,24.8,2025-10-13,24.8,3.5,5.3,11.4,2.1,2.2,1.5,2.1,1.2,1.024,2025-03-03,25.4,5,8.04,11.64,0.69
2120000123,COLEGIO LA CHUCUA [2120000123],-74.149,4.604,Automática con Telemetría,2562.0,0.549,0.935,0.75,0.824,0.567,0.946,0.728,0.945,0.612,0.0,0.0,0.0,11.5,2024-02-06,11.5,0.342,0.0,0.0,0.1,17.2,2024-03-20,17.2,0.1,0.0,0.0,0.0,1.5,2024-07-05,1.5,2.424,0.0,0.1,3.8,16.4,2024-11-10,16.4,0.871,0.0,0.0,0.1,17.4,2025-01-03,17.4,2.523,0.0,0.8,3.65,18.4,2025-04-27,18.4,1.224,0.0,0.2,1.9,7.5,2025-08-24,7.5,2.074,0.0,0.2,1.475,26.7,2025-10-13,26.7,3.0,5.2,12.2,2.1,2.2,1.5,2.1,1.2,1.099,2025-10-13,26.7,5,7.24,11.74,0.62
2120000175,COLEGIO LA FELICIDAD (IED) [2120000175],-74.131,4.656,Automática con Telemetría,2584.0,0.549,0.935,0.75,0.813,0.567,0.946,0.728,0.945,0.328,0.0,0.0,0.0,8.0,2024-02-05,8.0,0.423,0.0,0.0,0.1,15.1,2024-03-20,15.1,0.087,0.0,0.0,0.0,1.5,2024-07-05,1.5,2.219,0.0,0.1,3.575,18.5,2024-11-14,18.5,0.31,0.0,0.0,0.3,3.2,2024-12-02,3.2,3.206,0.15,1.2,4.5,22.8,2025-04-25,22.8,1.179,0.0,0.2,1.8,11.7,2025-08-30,11.7,1.908,0.0,0.2,1.2,23.0,2025-11-12,23.0,3.0,5.3,12.2,2.1,2.2,1.5,2.1,1.2,1.009,2025-11-12,23.0,5,7.4,11.72,0.63
2120000128,COLEGIO GABRIEL GARCIA MARQUEZ [2120000128],-74.092,4.505,Automática con Telemetría,3055.0,0.538,0.924,0.707,0.857,0.567,0.946,0.728,0.945,0.696,0.0,0.0,0.0,8.4,2024-02-05,8.4,0.234,0.0,0.0,0.1,6.9,2024-03-20,6.9,0.058,0.0,0.0,0.0,0.7,2024-07-21,0.7,1.477,0.0,0.05,1.575,12.4,2024-11-10,12.4,0.441,0.0,0.0,0.0,10.6,2025-01-07,10.6,3.028,0.1,1.1,3.4,31.7,2025-04-25,31.7,3.312,0.5,1.8,4.55,16.4,2025-06-06,16.4,1.857,0.0,0.45,2.2,14.4,2025-09-30,14.4,3.9,6.7,42.6,3.2,2.2,1.5,2.1,1.2,1.454,2025-04-25,31.7,10,7.6,7.42,1.02
