codigo,nombre,longitud,latitud,altitud,tecnologia,MAM_24_mean_dias_con_dato,SON_24_mean_dias_con_dato,MAM_25_mean_dias_con_dato,SON_25_mean_dias_con_dato,MAM_24_prec_media,MAM_24_prec_25,MAM_24_prec_50,MAM_24_prec_75,MAM_24_prec_max,MAM_24_fecha_max_precip,MAM_24_max_precip,SON_24_prec_media,SON_24_prec_25,SON_24_prec_50,SON_24_prec_75,SON_24_prec_max,SON_24_fecha_max_precip,SON_24_max_precip,MAM_25_prec_media,MAM_25_prec_25,MAM_25_prec_50,MAM_25_prec_75,MAM_25_prec_max,MAM_25_fecha_max_precip,MAM_25_max_precip,SON_25_prec_media,SON_25_prec_25,SON_25_prec_50,SON_25_prec_75,SON_25_prec_max,SON_25_fecha_max_precip,SON_25_max_precip,MAM_24_cadencia_media,SON_24_cadencia_media,MAM_25_cadencia_media,SON_25_cadencia_media,ratio_max_segundo_max,fecha_max_global,precip_max_global,cluster_geografico,p95_propia,p95_cluster_prom,ratio_p95_cluster
2120000122,COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED) [2120000122],-74.155,4.625,2557,Automática con Telemetría,0.935,0.835,0.946,0.945,0.281,0.0,0.0,0.075,11.6,2024-03-20,11.6,4.082,0.0,0.2,5.025,44.4,2024-11-02,44.4,3.363,0.1,1.3,4.0,25.2,2025-05-20,25.2,1.8,0.0,0.2,1.45,27.0,2025-10-13,27.0,5.2,1.2,1.5,1.2,1.345,2024-11-02,44.4,3,8.94,12.57,0.71
2120000169,COLEGIO LA BELLEZA (IED) [2120000169],-74.092,4.531,2949,Automática con Telemetría,0.935,0.835,0.946,0.923,0.742,0.0,0.0,0.2,24.1,2024-03-20,24.1,4.034,0.0,0.1,4.2,39.4,2024-11-10,39.4,2.953,0.1,1.0,3.9,25.0,2025-04-25,25.0,1.539,0.0,0.5,2.0,14.2,2025-11-21,14.2,5.7,1.3,1.7,1.2,1.438,2024-11-10,39.4,6,8.65,8.65,1.0
2120000101,ALTOS DE LA ESTANCIA [2120000101],-74.178,4.581,2960,Automática con Telemetría,0.935,0.857,0.946,0.934,0.316,0.0,0.0,0.0,14.1,2024-03-20,14.1,3.676,0.0,0.0,5.05,67.8,2024-11-22,67.8,1.429,0.0,0.3,1.6,19.7,2025-04-27,19.7,1.366,0.0,0.1,0.9,14.1,2025-10-23,14.1,6.4,1.4,2.9,1.8,3.324,2024-11-22,67.8,3,6.6,12.83,0.51
2120000173,COLEGIO CARLO FEDERICI (IED) [2120000173],-74.159,4.672,2577,Automática con Telemetría,0.935,0.835,0.946,0.945,0.328,0.0,0.0,0.1,8.4,2024-03-20,8.4,3.833,0.0,0.2,4.175,28.0,2024-10-18,28.0,3.772,0.1,0.9,4.4,25.4,2025-03-03,25.4,2.155,0.0,0.2,1.775,24.8,2025-10-13,24.8,5.3,1.2,1.5,1.2,1.094,2024-10-18,28.0,3,10.27,12.43,0.83
2120000120,COLEGIO GUSTAVO MORALES [2120000120],-74.064,4.717,2553,Automática con Telemetría,0.935,0.802,0.946,0.934,0.527,0.0,0.0,0.175,12.6,2024-03-20,12.6,5.925,0.0,0.5,9.2,45.4,2024-11-19,45.4,4.109,0.0,0.9,4.9,42.2,2025-04-27,42.2,3.513,0.0,0.1,1.3,65.7,2025-10-16,65.7,5.4,1.2,1.5,1.2,1.447,2025-10-16,65.7,5,14.1,12.73,1.11
2120000123,COLEGIO LA CHUCUA [2120000123],-74.149,4.604,2562,Automática con Telemetría,0.935,0.824,0.946,0.945,0.342,0.0,0.0,0.1,17.2,2024-03-20,17.2,4.508,0.0,0.2,6.05,32.8,2024-11-10,32.8,2.523,0.0,0.8,3.65,18.4,2025-04-27,18.4,2.074,0.0,0.2,1.475,26.7,2025-10-13,26.7,5.2,1.2,1.5,1.2,1.061,2025-01-03,34.8,3,8.78,12.59,0.7
2120000139,ESC. PEDAGOGICA EXPRIMENTAL [2120000139],-74.019,4.676,2905,Automática con Telemetría,0.935,0.857,0.935,0.934,0.341,0.0,0.0,0.1,10.5,2024-03-20,10.5,6.104,0.0,0.2,4.4,83.6,2024-11-06,83.6,1.629,0.0,0.45,1.725,16.8,2025-03-05,16.8,1.908,0.0,0.3,1.0,34.9,2025-11-30,34.9,6.5,1.6,4.0,1.8,1.427,2024-11-06,83.6,5,8.28,13.18,0.63
2120000138,COLEGIO NUEVA ZELANDIA [2120000138],-74.047,4.766,2561,Automática con Telemetría,0.935,0.857,0.946,0.945,0.386,0.0,0.0,0.1,10.5,2024-03-06,10.5,6.818,0.0,0.05,5.0,70.4,2024-11-02,70.4,1.857,0.0,0.3,2.2,21.1,2025-05-19,21.1,1.935,0.0,0.05,1.475,21.6,2025-09-19,21.6,5.9,1.3,2.9,1.8,1.067,2024-11-02,70.4,5,9.57,13.08,0.73
2120000103,CERRO NORTE - AUT  [2120000103],-74.019,4.733,2766,Automática con Telemetría,0.924,0.857,0.891,0.868,0.328,0.0,0.0,0.2,6.3,2024-03-04,6.3,6.805,0.0,0.15,4.15,96.8,2024-11-02,96.8,2.878,0.0,0.5,3.55,29.0,2025-03-05,29.0,1.904,0.0,0.2,1.25,17.9,2025-10-16,17.9,6.8,1.4,3.1,1.8,1.061,2024-11-02,96.8,5,10.2,13.03,0.78
2120000106,GRAN BRETAÑA [2120000106],-74.164,4.512,3087,Automática con Telemetría,0.902,0.857,0.946,0.934,0.294,0.0,0.0,0.1,8.4,2024-03-20,8.4,4.209,0.0,0.2,3.15,65.0,2024-10-05,65.0,1.643,0.0,0.4,2.05,20.2,2025-04-27,20.2,1.496,0.0,0.2,1.4,15.7,2025-11-21,15.7,6.5,1.4,3.0,1.8,1.816,2024-10-05,65.0,6,6.31,8.75,0.72
