codigoestacion,umbral_mm_h,n_horas_humedas,origen
0021201980,7.1,4219,propio
0021202180,5.6,3844,propio
0021202190,3.2,4697,propio
0021202220,8.9,6406,propio
0021202230,2.6,3184,propio
0021202240,8.56,4990,propio
0021202250,4.9,4351,propio
0021206810,3.1,3518,propio
0021206890,9.1,7874,propio
0021208480,4.8,6585,propio
2120000099,9.7,5994,propio
2120000100,8.2,6440,propio
2120000101,5.4,5298,propio
2120000103,11.1,5764,propio
2120000105,6.3,7811,propio
2120000106,4.8,5164,propio
2120000107,5.9,4723,propio
2120000108,7.1,6681,propio
2120000109,5.9,6997,propio
2120000117,6.5,5457,propio
2120000118,8.9,7297,propio
2120000119,7.66,5870,propio
2120000120,7.6,7860,propio
2120000121,5.0,6214,propio
2120000122,4.5,7358,propio
2120000123,4.6,7284,propio
2120000124,4.4,6799,propio
2120000125,5.12,3497,propio
2120000126,5.4,6343,propio
2120000127,3.2,3642,propio
2120000128,3.4,4533,propio
2120000129,4.18,4004,propio
2120000130,4.3,3380,propio
2120000131,6.0,4835,propio
2120000132,5.2,5729,propio
2120000133,8.3,8921,propio
2120000134,7.02,8137,propio
2120000135,9.3,7601,propio
2120000137,7.1,7842,propio
2120000138,9.8,6220,propio
2120000139,9.1,5076,propio
2120000140,12.9,8152,propio
2120000169,5.0,6820,propio
2120000170,9.2,7784,propio
2120000171,6.2,8808,propio
2120000172,6.0,7596,propio
2120000173,5.0,5879,propio
2120000174,7.6,7282,propio
2120000175,4.9,6718,propio
2120500201,7.4,7571,propio
2120700038,4.7,4090,propio
2120700154,5.4,3948,propio
0021205012,6.0,647,respaldo pooled
0021205420,6.0,411,respaldo pooled
0021205710,6.0,623,respaldo pooled
0021205910,6.0,1038,respaldo pooled
0021206280,6.0,448,respaldo pooled
0021206560,6.0,797,respaldo pooled
0021206600,16.2,500,"propio (diagnóstico, excepción)"
0035025060,6.0,938,respaldo pooled
2120000136,6.0,628,respaldo pooled
2120500135,6.0,808,respaldo pooled
2306500204,6.0,1011,respaldo pooled
