codigoestacion,lat_est,lon_est,fila,col,lat_px,lon_px,dist_km,en_margen
21201980,4.59157,-74.05471,99,101,4.5840206,-74.0477,1.142,True
21202180,4.54311,-74.15601,101,95,4.5475917,-74.15655,0.501,True
21202190,4.51872,-74.08867,103,99,4.511161,-74.083984,0.986,True
21202220,4.62789,-74.0587,97,100,4.6204524,-74.06584,1.143,True
21202230,4.48152,-74.12708,105,97,4.4747376,-74.12026,1.066,True
21202240,4.63546,-74.05746,96,100,4.6386695,-74.06584,0.994,True
21202250,4.50082,-74.13739,104,96,4.492949,-74.138405,0.881,True
21205012,4.63723,-74.08892,96,99,4.6386695,-74.083984,0.569,True
21205420,4.688662,-74.205626,93,92,4.693325,-74.21097,0.785,True
21205710,4.667867,-74.101034,94,98,4.675106,-74.10213,0.813,True
21205791,4.705583,-74.150667,92,95,4.71155,-74.15655,0.929,True
21205910,4.98922,-74.00119,77,104,4.984947,-73.99327,0.996,True
21206280,4.64823,-74.32035,95,86,4.6568875,-74.31981,0.963,True
21206560,4.62547,-74.156066,97,95,4.6204524,-74.15655,0.56,True
21206600,4.786594,-74.102247,88,98,4.7844377,-74.10213,0.24,True
21206780,4.619272,-74.194594,97,93,4.6204524,-74.192825,0.236,True
21206810,4.56365303,-74.13845,100,96,4.565806,-74.138405,0.239,True
21206890,4.66577,-74.02861,95,102,4.6568875,-74.02956,0.991,True
21208480,4.61104201,-74.178333,98,94,4.6022363,-74.17469,1.057,True
35025060,4.587059,-73.995885,99,104,4.5840206,-73.99327,0.445,True
2120000099,4.749234,-74.08073,90,99,4.7479925,-74.083984,0.386,True
2120000100,4.652389,-74.075434,95,99,4.6568875,-74.083984,1.07,True
2120000101,4.58074,-74.17828,99,94,4.5840206,-74.17469,0.539,True
2120000103,4.73254,-74.01871,91,103,4.729771,-74.01141,0.863,True
2120000105,4.763457,-74.021772,89,102,4.766215,-74.02956,0.914,True
2120000106,4.5117,-74.163522222,103,95,4.511161,-74.15655,0.774,True
2120000107,4.53602,-74.10654,102,98,4.5293784,-74.10213,0.884,True
2120000108,4.674932,-74.113609,94,97,4.675106,-74.12026,0.736,True
2120000109,4.720124,-74.108288,92,98,4.71155,-74.10213,1.171,True
2120000117,4.54294,-74.08031,101,99,4.5475917,-74.083984,0.657,True
2120000118,4.743304,-74.102293,90,98,4.7479925,-74.10213,0.521,True
2120000119,4.555765,-74.09667,101,98,4.5475917,-74.10213,1.09,True
2120000120,4.716619,-74.064401,92,100,4.71155,-74.06584,0.585,True
2120000121,4.575873,-74.106178,99,98,4.5840206,-74.10213,1.009,True
2120000122,4.624567,-74.154993,97,95,4.6204524,-74.15655,0.488,True
2120000123,4.60356,-74.148507,98,95,4.6022363,-74.15655,0.902,True
2120000124,4.583176,-74.132461,99,96,4.5840206,-74.138405,0.664,True
2120000125,4.619586,-74.11322,97,97,4.6204524,-74.12026,0.785,True
2120000126,4.48706,-74.10213,104,98,4.492949,-74.10213,0.654,True
2120000127,4.48997,-74.11308,104,97,4.492949,-74.12026,0.861,True
2120000128,4.50499,-74.09235,103,99,4.511161,-74.083984,1.151,True
2120000129,4.50643,-74.10251,103,98,4.511161,-74.10213,0.527,True
2120000130,4.5328,-74.11684,102,97,4.5293784,-74.12026,0.537,True
2120000131,4.545,-74.13944,101,96,4.5475917,-74.138405,0.31,True
2120000132,4.53531,-74.14909,102,95,4.5293784,-74.15655,1.055,True
2120000133,4.56144,-74.07482,100,100,4.565806,-74.06584,1.105,True
2120000134,4.55257,-74.08373,101,99,4.5475917,-74.083984,0.553,True
2120000135,4.61823,-74.06439,97,100,4.6204524,-74.06584,0.294,True
2120000136,4.58781,-74.06813,99,100,4.5840206,-74.06584,0.491,True
2120000137,4.74943,-74.02285,90,102,4.7479925,-74.02956,0.759,True
2120000138,4.76587,-74.04681,89,101,4.766215,-74.0477,0.106,True
2120000139,4.67553,-74.01927,94,103,4.675106,-74.01141,0.871,True
2120000140,4.7055,-74.02263,92,102,4.71155,-74.02956,1.019,True
2120000169,4.53059,-74.09244,102,99,4.5293784,-74.083984,0.945,True
2120000170,4.6405,-74.05435,96,101,4.6386695,-74.0477,0.764,True
2120000171,4.72911,-74.02383,91,102,4.729771,-74.02956,0.638,True
2120000172,4.75947,-74.02752,89,102,4.766215,-74.02956,0.782,True
2120000173,4.67168,-74.15894,94,95,4.675106,-74.15655,0.464,True
2120000174,4.68664,-74.08296,93,99,4.693325,-74.083984,0.751,True
2120000175,4.656,-74.131111111,95,96,4.6568875,-74.138405,0.813,True
2120500135,4.85414,-74.03269,84,102,4.8573375,-74.02956,0.496,True
2120500201,4.57515,-74.07175,99,100,4.5840206,-74.06584,1.182,True
2120500204,4.621608,-74.103408,97,98,4.6204524,-74.10213,0.191,True
2120700038,4.56235,-74.148869,100,95,4.565806,-74.15655,0.932,True
2120700154,4.55322,-74.10789,101,98,4.5475917,-74.10213,0.892,True
2306500204,4.876695,-74.287811,83,88,4.8755646,-74.28353,0.49,True
