inicio,fin,n_ts,motivo,satelite
2024-01-13 07:20:00,2024-01-13 07:20:00,1,excluido_qc,G16
2024-01-14 23:40:00,2024-01-14 23:40:00,1,excluido_qc,G16
2024-01-15 05:00:00,2024-01-15 05:00:00,1,excluido_qc,G16
2024-01-15 14:00:00,2024-01-15 14:00:00,1,sin_archivo,G16
2024-01-15 16:40:00,2024-01-15 16:40:00,1,excluido_qc,G16
2024-01-15 17:30:00,2024-01-15 17:30:00,1,excluido_qc,G16
2024-01-16 05:50:00,2024-01-16 05:50:00,1,excluido_qc,G16
2024-01-16 06:50:00,2024-01-16 06:50:00,1,excluido_qc,G16
2024-01-16 07:10:00,2024-01-16 07:10:00,1,excluido_qc,G16
2024-01-16 09:30:00,2024-01-16 09:30:00,1,excluido_qc,G16
2024-01-22 03:40:00,2024-01-22 03:50:00,2,excluido_qc,G16
2024-01-22 17:30:00,2024-01-22 20:40:00,20,excluido_qc+sin_archivo,G16
2024-01-23 06:40:00,2024-01-23 06:40:00,1,excluido_qc,G16
2024-01-23 21:00:00,2024-01-23 21:00:00,1,excluido_qc,G16
2024-01-25 12:40:00,2024-01-25 12:40:00,1,excluido_qc,G16
2024-01-26 19:00:00,2024-01-26 20:10:00,8,excluido_qc,G16
2024-02-05 11:10:00,2024-02-05 11:10:00,1,excluido_qc,G16
2024-02-06 13:50:00,2024-02-06 13:50:00,1,excluido_qc,G16
2024-02-06 15:00:00,2024-02-06 15:00:00,1,excluido_qc,G16
2024-02-06 16:50:00,2024-02-06 16:50:00,1,excluido_qc,G16
2024-02-13 17:00:00,2024-02-13 17:00:00,1,excluido_qc,G16
2024-02-15 12:50:00,2024-02-15 15:40:00,18,excluido_qc+sin_archivo,G16
2024-02-19 11:10:00,2024-02-19 11:10:00,1,excluido_qc,G16
2024-03-02 11:20:00,2024-03-02 11:50:00,4,sin_archivo,G16
2024-03-10 03:30:00,2024-03-10 03:30:00,1,excluido_qc,G16
2024-03-20 16:20:00,2024-03-20 17:40:00,9,sin_archivo,G16
2024-03-21 18:20:00,2024-03-21 18:30:00,2,excluido_qc,G16
2024-03-26 15:30:00,2024-03-26 15:50:00,3,excluido_qc+sin_archivo,G16
2024-03-26 17:00:00,2024-03-26 17:10:00,2,sin_archivo,G16
2024-04-01 00:00:00,2024-04-01 00:00:00,1,sin_archivo,G16
2024-04-01 11:00:00,2024-04-01 11:00:00,1,excluido_qc,G16
2024-04-04 11:30:00,2024-04-04 12:00:00,4,sin_archivo,G16
2024-04-11 18:50:00,2024-04-11 18:50:00,1,sin_archivo,G16
2024-04-15 10:30:00,2024-04-15 10:30:00,1,excluido_qc,G16
2024-04-15 11:00:00,2024-04-15 11:00:00,1,excluido_qc,G16
2024-04-16 13:10:00,2024-04-16 13:10:00,1,excluido_qc,G16
2024-04-20 15:10:00,2024-04-20 15:20:00,2,excluido_qc,G16
2024-05-07 17:00:00,2024-05-07 17:00:00,1,sin_archivo,G16
2024-05-08 23:20:00,2024-05-08 23:30:00,2,excluido_qc,G16
2024-05-13 00:20:00,2024-05-13 01:50:00,10,sin_archivo,G16
2024-05-13 03:20:00,2024-05-13 03:20:00,1,sin_archivo,G16
2024-05-18 18:10:00,2024-05-18 18:10:00,1,sin_archivo,G16
2024-05-19 15:30:00,2024-05-19 16:50:00,9,sin_archivo,G16
2024-05-23 05:50:00,2024-05-23 05:50:00,1,sin_archivo,G16
2024-05-29 16:30:00,2024-05-29 16:30:00,1,excluido_qc,G16
2024-05-29 20:30:00,2024-05-29 22:00:00,10,sin_archivo,G16
